Mes;Total Nacional;Agricultura, ganadería y pesca;Minas y canteras;Manufactura;Suministro de Electricidad Gas Vapor y Aire acondicionado;Distribución de Agua Alcantarillado y gestión de desechos;Construcción;Comercio;Transporte y almacenamiento;Actividades de Alojamiento;Información y comunicación;Financieras y seguros;Actividades inmobiliarias;Actividades profesionales;Actividades de servicios administrativos y de apoyo;Administración pública y defensa;Enseñanza;Actividades de atención a salud;Actividades entretenimiento;Otras actividades de servicios;Actividades de los hogares como empleadores domésticos;Actividades de Organizaciones
dic 2022;26590.70738;2224.513029;534.497341;3338.129999;319.1535238;85.01750234;1001.23152;10645.77127;1896.757638;495.9697162;607.881769;581.9848475;538.446595;1757.023232;569.1908107;86.3302385;291.1266826;996.2118815;101.088489;512.71952;3.14156071;0.335226
ene 2023;14281.33748;957.8527451;271.2904773;2178.142196;311.9145644;57.05483725;289.8058119;6646.283125;752.8077036;199.3595653;383.7774175;504.5245975;253.9309562;502.0971189;224.7968223;89.5733965;156.2862463;283.9503224;36.24864308;180.4159355;0.48749956;0.27363143
feb 2023;13764.07268;927.2010808;422.4838378;2047.22793;352.0584768;58.29779398;317.5762524;6095.717934;727.4756307;192.7898958;369.8369714;459.7339387;250.2844743;520.2961354;243.6730699;67.43207516;171.0339806;357.3403002;27.72033918;154.8445854;0.41021209;0.10389134
mar 2023;15942.08696;1054.434853;561.5142459;2417.2489;323.6678708;58.69460191;389.4460699;6987.127975;783.5650364;223.6801294;414.1255286;562.9315974;286.226163;618.9120634;278.4007767;87.63104923;285.4159608;401.0731237;34.29790758;172.3579972;0.59216644;0.23137273
abr 2023;14758.71359;950.7397104;473.0286101;2177.778486;311.4578268;62.7023124;427.0395943;6538.096304;759.7718444;200.2256823;399.0379049;500.7666153;275.8474141;623.8651966;267.2114608;87.78116134;210.9589141;295.8847715;28.70839059;165.9960707;0.45026491;0.46843714
may 2023;15615.50652;1037.097398;476.2040866;2366.162233;313.0866499;49.98241327;411.5025332;7013.900005;782.5375818;213.4313517;409.9082116;544.6393476;288.6697798;597.3226384;263.6384116;91.46040734;183.737533;378.8860833;32.78661967;159.2792976;0.4327829;0.18141781
jun 2023;20725.35812;1768.189706;476.6971708;2743.009698;315.9801732;62.20814773;521.4864355;8312.79965;1773.088543;386.0661482;455.2844557;526.1406454;390.79113;1044.658219;386.8538906;79.83978149;249.5197656;853.1167266;57.67724378;367.9875485;2.128051133;0.254009743
jul 2023;15842.30674;1049.055147;478.7564229;2400.607418;309.0304486;60.17970372;451.6738061;7299.932532;755.9686868;238.7328114;410.3075565;535.8018213;291.7964007;603.5917423;290.8197511;76.66963795;134.1042371;374.7438056;28.72928956;180.7176209;0.410592144;0.203389168
ago 2023;16169.68719;1021.40612;471.44108;2465.775626;309.8594392;61.02711141;479.565438;7469.556787;777.9703354;252.6050465;427.9633013;536.8711007;288.7623261;606.7340369;289.6846357;75.74899913;212.7523964;360.4834954;32.52785148;169.9016619;0.441228467;0.227872558
sep 2023;16314.63614;1022.828982;502.9159296;2475.852869;294.2538319;61.92501732;497.5556157;7493.734462;785.5002669;234.3872533;423.5586688;555.7593646;291.4526191;637.5089567;276.2404125;75.47664116;306.3061925;380.8013206;34.27302465;181.7719752;0.555418601;0.257903066
oct 2023;16454.77163;1103.673662;483.5262917;2555.371808;316.5905923;60.79135202;514.2698121;7579.578104;777.2370555;255.9505801;420.5405763;564.1826868;297.8884032;653.9230695;279.8782215;75.39562286;234.1726669;375.4165869;31.75102007;190.7496794;0.392919216;0.193850369
nov 2023;16887.40111;1105.697597;502.3378766;2590.754401;325.534202;62.75144103;556.5252141;7850.548915;786.6024077;247.5578435;432.2630875;561.910247;312.2710336;678.6430431;377.166747;75.37148277;174.9829951;386.8842242;32.64321994;173.9533454;0.438078611;0.219088229
dic 2023;26230.79501;2123.497354;543.0111741;3329.050302;341.0906769;75.92533109;1072.686928;10584.94088;2036.295137;504.8648187;599.3103395;664.9051603;550.8434999;1682.65785;565.4988988;75.3642865;288.7212615;1076.881683;73.08292323;482.9761107;2.167072491;0.359214451
ene 2024;14792.58721;1024.209214;370.0567322;2282.829326;323.7955315;60.73635111;332.8467159;7123.323055;756.5971753;224.1624146;380.1844729;571.5014043;263.4475876;512.1359545;237.1388912;75.36214095;168.6311405;340.5433094;31.93692016;179.571079;0.340006206;0.311171503
feb 2024;14565.20789;1050.383747;457.996715;2232.650275;335.5976059;61.44108617;382.7877325;6723.519488;745.9867621;227.2386352;385.0984829;551.7816043;262.5636722;530.578295;254.1104477;75.36150123;188.0988422;413.2397965;27.86721696;153.5059284;0.287071411;0.172375334
mar 2024;16033.72969;1131.894776;547.3987064;2434.905631;331.3355212;60.74830635;442.612849;7363.239999;778.8932679;249.5835878;416.7339332;581.6571841;284.5522899;601.5747192;288.6397694;75.36131048;291.7100176;443.1834709;33.51697166;177.1823408;0.412654367;0.21808666
abr 2024;15020.77646;1079.008588;532.9815952;2300.106941;340.7403909;61.79000949;436.8080846;6914.684897;745.9250884;229.4312594;401.9757644;543.4475735;271.4409998;608.5426678;274.9960559;75.36125361;222.6105834;381.9171684;27.72628815;171.6114808;0.313824795;0.249442181
