Nombre;Ventas anual;rama
AB INBEV HOLDING ECUADOR AB-INBEV S.A.S.;173931813;Financieras y seguros
UNACEM ECUADOR S.A.;173285002;Manufactura
PRODUCTOS PERECIBLES Y MARISCOS PROPEMAR S.A.;173260313.2;Comercio
NEGOCIOS AUTOMOTRICES NEOHYUNDAI S.A.;172143905.3;Comercio
CONTINENTAL TIRE ANDINA S. A.;171465143.6;Manufactura
IASA S.A.;169673973.7;Comercio
COMERCIAL CARLOS ROLDAN CIA. LTDA.;169376496.2;Comercio
PCC CONGELADOS & FRESCOS S.A.S.;168385747.3;Manufactura
SINOPEC INTERNATIONAL PETROLEUM SERVICE ECUADOR S.A.;167630350.9;Minas y canteras
SOCIEDAD AGRICOLA E INDUSTRIAL SAN CARLOS SA;165703630.8;Manufactura
CONSERVAS ISABEL ECUATORIANA S.A.;165620496;Manufactura
SEAFMAN SOCIEDAD ECUATORIANA DE ALIMENTOS Y FRIGORIFICOS MANTA C.A.;165600974.5;Manufactura
INDUSTRIAS LACTEAS TONI SA;162751758;Manufactura
SAN MIGUEL INDUSTRIAS ECUADOR SANMINDEC S.A.;162016818.6;Comercio
CONSTRUCCIONES Y PRESTACIONES PETROLERAS S.A. CPP;161634493.7;Construcción
ALIMENTSA S.A;160587182.6;Agricultura, ganadería y pesca
LIRIS S. A.;159666416.8;Manufactura
AJECUADOR S.A.;158406242.5;Manufactura
KUBIEC S.A.;155008458;Manufactura
TROPICAL PACKING ECUADOR S.A. TROPACK;154921614.6;Agricultura, ganadería y pesca
COFIMAR S.A.;154560518.4;Agricultura, ganadería y pesca
SOUTH PACIFIC SEAFOOD S.A. SOPASE;153413229.5;Agricultura, ganadería y pesca
BMI IGUALAS MEDICAS DEL ECUADOR S.A.;151918451.3;Financieras y seguros
LATAM-AIRLINES ECUADOR S.A.;147153999.1;Transporte y almacenamiento
PROCESADORA POSORJA PROPOSORJA S.A.;145832458.4;Agricultura, ganadería y pesca
CORPORACION QUIPORT S.A.;144955247.3;Actividades profesionales
PROCESADORA Y EXPORTADORA DE CAMARON PROCAMARONEX C. LTDA.;142283937.3;Agricultura, ganadería y pesca
AVICOLA VITALOA S.A. AVITALSA;137946486.7;Agricultura, ganadería y pesca
LAN CARGO S.A.;134808598.5;Transporte y almacenamiento
HAID ( ECUADOR)FEED CIA.LTDA.;134732935.2;Manufactura
BEVERAGE BRAND & PATENTS COMPANY BBPC S.A.;130930221;Actividades de servicios administrativos y de apoyo
COMERCIALIZADORA DE BANANO DEL SUR COMERSUR CIA. LTDA.;130886982.8;Agricultura, ganadería y pesca
EMPACADORA DEL PACIFICO SOCIEDAD ANONIMA (EDPACIF S.A.);129944736.5;Manufactura
ASISERVY S.A.;128864156.9;Manufactura
COLGATE PALMOLIVE DEL ECUADOR SOCIEDAD ANONIMA INDUSTRIAL Y COMERCIAL;126828541.8;Manufactura
CONTECON GUAYAQUIL S.A.;125774972.9;Transporte y almacenamiento
COMPANIA AZUCARERA VALDEZ SA;124674619.9;Manufactura
OLEODUCTO DE CRUDOS PESADOS (OCP) ECUADOR S.A.;124174108.6;Transporte y almacenamiento
NATLUK S.A.;122094074.6;Manufactura
PROEXPO, PROCESADORA Y EXPORTADORA DE MARISCOS S.A.;121933830;Agricultura, ganadería y pesca
AGZULASA CIA. LTDA.;121038580.6;Agricultura, ganadería y pesca
FISA FUNDICIONES INDUSTRIALES SA;115953632.7;Manufactura
DIRECTV ECUADOR C. LTDA.;115699331.8;Información y comunicación
EXTRACTORA QUEVEPALMA S.A.;114849386;Manufactura
ZAIMELLA DEL ECUADOR SOCIEDAD ANONIMA;114628291.4;Manufactura
DIPAC MANTA S.A.;113953284.4;Manufactura
LABORATORIOS SIEGFRIED S.A.;113089203.1;Manufactura
IDEAL ALAMBREC SA;111408806.6;Manufactura
MARBELIZE S.A.;109960697.8;Manufactura
ADMINISTRADORA DEL PACIFICO S.A. (ADEPASA);108313982.3;Actividades inmobiliarias
SERTECPET S.A.;108123510.5;Minas y canteras
SERVICIOS PETROLEROS IGAPÓ S.A.;106359196;Minas y canteras
OLAM ECUADOR S.A.;104183863.1;Agricultura, ganadería y pesca
SERVICIOS DE TELECOMUNICACIONES SETEL S.A;103901815;Información y comunicación
INARPI S.A.;102126820.4;Transporte y almacenamiento
EXPOTUNA S.A.;101398525.7;Agricultura, ganadería y pesca
COMPANIA PANAMENA DE AVIACION S.A.;100915408;Transporte y almacenamiento
OCEANBAT S.A.;100281942.9;Transporte y almacenamiento
CHINA RAILWAY 19 BUREAU GROUP CORPORATION;99965460.67;Construcción
CRIMASA CRIADEROS DE MARISCOS SA;98973138.59;Agricultura, ganadería y pesca
MARZAM CIA. LTDA.;98538398.36;Transporte y almacenamiento
INTEGRACION AVICOLA ORO S.A.;96784598.59;Agricultura, ganadería y pesca
EXPORTADORA TOTAL SEAFOOD TOTALSEAFOOD S.A.;96316376.61;Agricultura, ganadería y pesca
TERMINAL AEROPORTUARIA DE GUAYAQUIL S.A. TAGSA;94594246.76;Transporte y almacenamiento
PARDALISERVICES S.A.;92054135.38;Minas y canteras
MANESIL S.A.;91396717.71;Financieras y seguros
BROADNET S.A.;90769802.4;Información y comunicación
AVIPECHICHAL S.A.;90651253.51;Agricultura, ganadería y pesca
MEDICINA PARA EL ECUADOR MEDIECUADOR-HUMANA S.A.;89710654.03;Financieras y seguros
SUDAMERICANA INTEGRAL DE CONSTRUCCIONES SUDINCO S.A.;89121681.53;Construcción
METALKING S.A.;87803269.23;Distribución de Agua Alcantarillado y gestión de desechos
DK MANAGEMENT SERVICES SOCIEDAD ANONIMA;85612171.25;Actividades inmobiliarias
LIMBOMAR S.A.;81040674.79;Agricultura, ganadería y pesca
VERIS S.A.;80301813.85;Actividades de atención a salud
MOONHOLD S.A.;79767141.58;Financieras y seguros
UTOPIA FARMS UTF S.A.S.;78568681.21;Agricultura, ganadería y pesca
PANAMERICANA VIAL S.A. PANAVIAL;78430329.92;Construcción
AIR EUROPA LINEAS AEREAS, SOCIEDAD ANONIMA, SOCIEDAD UNIPERSONAL;76748859.89;Transporte y almacenamiento
BAKER HUGHES SERVICES INTERNATIONAL S.A.S.;75212215.5;Minas y canteras
CORPORACIÓN FERNÁNDEZ CORPFERNANDEZ S.A.;74883000.45;Agricultura, ganadería y pesca
QATAR AIRWAYS Q.C.S.C.;74431821.93;Transporte y almacenamiento
HOSPITAL-METROPOLITANO S.A.S.;72883196;Actividades de atención a salud
SWISSOIL DEL ECUADOR S.A. (SWISSOIL);72873622.12;Minas y canteras
ARCGOLD DEL ECUADOR S.A.;72759759.25;Actividades de servicios administrativos y de apoyo
BAGATOCORP S.A.;71925933.88;Agricultura, ganadería y pesca
DONATELLA ECUADOR DONATECUA S.A.;68578978.38;Agricultura, ganadería y pesca
DELI INTERNACIONAL S.A.,;68099527.24;Actividades de Alojamiento
AMERICAN AIRLINES INC.;67655398.11;Transporte y almacenamiento
RIPCONCIV CONSTRUCCIONES CIVILES CIA. LTDA.;67625450.21;Construcción
GODPROEX PRODUCTORA Y EXPORTADORA S.A.;67400996.44;Agricultura, ganadería y pesca
CUYABENOPETRO S.A.;66895066.6;Minas y canteras
PUNTONET S.A.;66301230.21;Información y comunicación
